"year","precipitation_7y","npp","photo","ar","lai","f5","evapm","cleaf","cwood","croot","csap","cheart","csto","ctotal","wue","ls","frequency"
1993,128.589568039388,1.77936323016967,2.61493485801212,0.894799454128968,7.68470914088979,0.875292762889051,1.65865121071548,0.265783742519045,39.2087151901009,0.35170247292457,4.15081231725873,35.0579028728421,23.5840578061208,63.4102592116653,0.00764111535344137,58,"7y"
1994,151.860405922798,1.80666923670287,2.62453678156205,0.874964497922134,7.5969305399979,0.878477543992999,1.66340709273465,0.263805065232019,34.7094302427863,0.349097712969379,3.97557420799908,30.7338560347872,23.952896914603,59.2752299355908,0.00873107983849607,58,"7y"
1995,189.876907554935,1.78663599228913,2.60185641853463,0.869854033422015,7.46695289012976,0.870006944953523,1.7333120624891,0.259248839283221,35.4471780289285,0.342787267688123,3.90901704526241,31.5381609836661,23.8829854358296,59.9321995717295,0.00759266317764531,58,"7y"
1996,94.9613463256537,1.8041646430503,2.63191145033555,0.88737423391805,7.59601032798016,0.877221527018379,1.6676797265576,0.265819191300391,34.5989517802252,0.352039128412464,4.02550348480519,30.57344829542,24.0986040446301,59.3154141445682,0.00850985881513654,58,"7y"
1997,146.292389320388,1.66299666662914,2.51585990300894,0.918158696334702,7.74040433770223,0.831118612231799,1.66344499900593,0.264694176307717,36.9342752271999,0.35119380367472,4.16192200918221,32.7723532180177,21.3857236652358,58.9358868724181,0.00747879823224109,58,"7y"
1998,186.611598797754,1.73791746207494,2.54815862168999,0.866129991497841,7.43197359414469,0.83877282242904,1.67660303519093,0.256439876400182,36.8507207522482,0.339335007673834,3.93901998706701,32.9117007651812,22.9326836475927,60.3791792839149,0.00815640950704476,58,"7y"
1999,215.000130887165,1.84852676956821,2.65940046727377,0.867960734581876,7.62113277872602,0.876570244667748,1.58418116908568,0.265242755033608,34.004844111051,0.350962756998676,3.99053130558446,30.0143128054665,24.887706626922,59.5087562500053,0.00976078060128629,58,"7y"
2000,162.084309731836,1.84513363017648,2.67025194523048,0.880487823120259,7.64737589378801,0.876504256906153,1.61849016391904,0.266634736981396,35.3025041988035,0.352535600680989,4.02997209318602,31.2725321056175,24.5360894894776,60.4577640259435,0.00889813757645996,58,"7y"
2001,179.037929249807,1.76491170433445,2.60425641484418,0.900691095365082,7.68875880317132,0.854655531516137,1.66571915780176,0.264054035816369,35.7250140030722,0.350030215795374,4.07406782464114,31.650946178431,23.2639979905214,59.6030962452053,0.0081983075394513,58,"7y"
2002,178.006661342079,1.72309379108938,2.54739222687179,0.882192754688515,7.46185789338523,0.833339726145007,1.67742076793856,0.258139994675375,36.9426380653677,0.341790632185364,4.00641071319304,32.9362273521746,22.7258296810876,60.2683983733161,0.00805102701653495,58,"7y"
