"timeindex","ar1","sd","sk","kurt","cv","returnrate","densratio","acf1","frequency"
62,0.349196135890089,0.117576302372705,0.12581637679811,1.89056751466463,7.14385753485442,2.8637201194997,3.66245740715551,0.332943681659721,"3"
63,0.092255799116928,0.0998814156341844,0.185677397161138,1.74927324817845,3.39689379256986,10.839427001576,1.3966110874877,0.0863981612907248,"3"
64,0.0600082903326895,0.0994858886659841,0.197520231821335,1.74017565864169,3.3545040235297,16.6643641146238,1.19969344840169,0.0470387925507923,"3"
65,0.22139088964569,0.0963113087457005,0.199121630474151,1.83248010988098,2.92082953776741,4.51689769890885,2.24228578332022,0.208613584301257,"3"
66,0.302530590540112,0.107352344424371,0.342706393085431,1.84011207911624,8.28553792047928,3.3054508577618,2.58365002808024,0.244846800259946,"3"
67,0.176319355309674,0.105723830923622,0.537552510029578,2.06196709426908,16.3063250980818,5.67152708926183,1.97721695116454,0.176275444973399,"3"
68,0.247673553878628,0.0906475548664705,0.825036601078401,3.15514815587044,-9.61289992367508,4.03757278215521,2.60744198335189,0.247182537912146,"3"
69,0.245112516370559,0.0906607159315575,0.833516703168247,3.16311533054645,-9.36203312226297,4.07975902172294,2.58537582420115,0.245016984701703,"3"
70,0.34120948257783,0.0913012492103386,0.555697213990091,2.82073628745034,-62.9851304723578,2.9307509054116,3.65791449805197,0.332633521983281,"3"
71,0.140905000145229,0.0677139258229244,0.235219646332236,2.30074649456102,-4.31722710810267,7.09698022759526,1.6576294026448,0.130758759939069,"3"
