timeindex,ar1,var,frequency,sd,sk,kurt,cv,returnrate,densratio,acf1
387,0.536282031124242,ar,5y,0.0976550374124094,0.130187352495726,3.39520689362017,-22.9227188038843,1.86469048366889,10.8763571478829,0.535631433342045
388,0.537207252757487,ar,5y,0.0981637973189077,0.150952955341893,3.33888856543011,-18.5372427010923,1.86147896341123,10.6353171832448,0.531600219245982
389,0.532266651577625,ar,5y,0.0971930534309213,0.138677921321004,3.43608764375587,-24.5134061895191,1.8787575682903,10.6420178088046,0.531713835439876
390,0.524049523359448,ar,5y,0.0971340776871304,0.084823899545239,3.43304874859175,-53.5960831904875,1.90821660057898,9.98081184943044,0.520046657268173
391,0.517518936993569,ar,5y,0.0975284065838501,0.0272117309967602,3.38670443828065,107.054296209999,1.93229644080141,9.37875940551576,0.508545784863891
392,0.566749586685918,ar,5y,0.0992931838920351,0.0761074108130616,3.39826092226883,15.5755490859912,1.76444769170018,10.3870267365865,0.527325422876686
393,0.560665790244117,ar,5y,0.100122669735016,0.0482220536065337,3.30210053640911,12.7858289214012,1.78359375121602,11.89560857541,0.55150708692356
394,0.579552836599099,ar,5y,0.0995496395523271,0.0488262413897612,3.35579125495051,13.7079744903839,1.72546821764888,13.5538599011822,0.573954060627952
395,0.575718778637163,ar,5y,0.0995206226772296,0.0386496253301618,3.35907920021989,13.0903831602444,1.73695914933884,13.6957726550681,0.575710740935555
396,0.579870544575701,ar,5y,0.0994387032969739,0.0563252297414517,3.37111217925266,14.1950883422759,1.72452284282126,14.0363268070492,0.579832720799204
397,0.584977176937826,ar,5y,0.0992826551615975,0.0502962445409451,3.3898678663522,13.6091658871564,1.70946840222842,14.3350681369457,0.583344236131948
398,0.588020924480926,ar,5y,0.100140045497058,0.0838918895414529,3.30051744251447,18.2121363494134,1.70061975410611,13.8825296556171,0.57798727499973
399,0.601283002019891,ar,5y,0.0997769778654985,0.14226261259359,3.34815983223049,36.3904131736559,1.6631103767123,15.4444010520363,0.595603119136117
400,0.608022579875834,ar,5y,0.100594541475672,0.167499657986421,3.26785054853074,83.1626137413043,1.644675762213,15.7053795187815,0.598322697047753
401,0.619382754966583,ar,5y,0.101935569318641,0.174956804350991,3.15915927750855,-205.452164500576,1.61451056229997,16.1705122846379,0.603027714110458
402,0.619077483227966,ar,5y,0.102513175025104,0.198296614543825,3.10617771438775,-59.2792454890775,1.61530668953722,17.1290630844963,0.612192866626876
403,0.628563944348947,ar,5y,0.0995103149141848,0.267434744643334,3.20495985973371,125.8369446478,1.59092803363988,18.8961841892751,0.627457925224767
404,0.620285930809336,ar,5y,0.0994188030342987,0.211503031470919,3.19045025958958,30.7727694258951,1.61215973203716,17.3905633204591,0.614578141437618
405,0.646646010969665,ar,5y,0.100146515734807,0.154048691522645,3.10846271272332,16.2082225794057,1.54644114869041,19.4779259455868,0.632080590541059
406,0.66010067812143,ar,5y,0.100147027859739,0.154047155768148,3.10841765096002,16.2070075399024,1.51492042523859,21.9460334632124,0.64985209780676
407,0.646255495357586,ar,5y,0.100172607592508,0.16526661890786,3.10770340989288,17.2725041333282,1.54737562339285,21.3623924320368,0.645894903720957
408,0.632126436007145,ar,5y,0.100237616198008,0.216370733022966,3.1165356071156,26.6526937383708,1.58196199848332,18.8808539156224,0.627333598454491
409,0.657257268652592,ar,5y,0.0983406440818316,0.22030376625964,3.18048406926803,-97.1754219662071,1.52147423496745,20.8643115627744,0.642403682791994
410,0.661319721584782,ar,5y,0.0986672845745103,0.274488238789938,3.17525147143886,-27.5046847352671,1.51212789723495,22.190122238505,0.651466207198493
411,0.652528645470879,ar,5y,0.0985646592458029,0.282252859402745,3.19086398415748,-25.5865448532308,1.53249977137537,22.2256344593135,0.651699093455967
412,0.649462209576695,ar,5y,0.0984584224934156,0.275118802283996,3.20064889649164,-27.7180785725498,1.53973546921503,21.7994221467032,0.648871178687761
413,0.655260363785648,ar,5y,0.0994441143602528,0.274293443134622,3.12296747128713,-21.1919869121459,1.52611092516367,20.5889456603769,0.640426200244322
414,0.642695479086228,ar,5y,0.0994569430190798,0.278948392780401,3.12313053373187,-20.5048423680167,1.55594684036331,20.8813900961717,0.642525199090574
415,0.632736797884465,ar,5y,0.0992399848848429,0.266053081677723,3.14260279022374,-23.1909589138365,1.58043597802983,19.5221245842978,0.632424409731601
416,0.630633004347838,ar,5y,0.09757782073149,0.24846118410566,3.23336190601253,-74.882246307196,1.58570831704906,19.0355313352844,0.628582004451094
417,0.646747856299841,ar,5y,0.0975397621645599,0.189932812595406,3.2105071210645,61.0554573034243,1.54619762595144,20.1786847404888,0.637414718178762
418,0.653553791509683,ar,5y,0.0983957043387939,0.159650630327677,3.11057010780563,32.2364932738824,1.53009593547004,20.8544944843641,0.642333773679402
419,0.629262610538484,ar,5y,0.0989738027152565,0.179666041297293,3.05574771480979,50.7812367320864,1.58916163657692,18.2209321661613,0.621853310228462
420,0.624688803241506,ar,5y,0.0988323345764266,0.18498143333362,3.07290435286485,57.6056233665971,1.60079706057001,18.2594953113466,0.622180640137851
421,0.623592046150242,ar,5y,0.0986422873717455,0.17203374978398,3.09153835646451,43.929349676471,1.60361249982825,18.3934549508029,0.623310741719986
422,0.624403433792069,ar,5y,0.0988257982606445,0.191704693089862,3.07502561319551,65.5061410176231,1.60152866861557,18.2524061589888,0.622120533987906
423,0.586125144114434,ar,5y,0.0983836650991669,0.199563375302237,3.12224169904357,101.154759682354,1.706120288545,14.2737466734825,0.582631157980031
424,0.60599625299538,ar,5y,0.0972783697186997,0.130265094799616,2.95779988769404,177.056170383415,1.65017521982537,11.9322038191648,0.552044722253396
425,0.588122468763426,ar,5y,0.0958219872408704,0.111961749881239,3.0372290194857,-162.7710700234,1.70032612782603,14.1720557640872,0.581439918634854
426,0.612005634710113,ar,5y,0.0970317732077524,0.119121528799,2.95419021230785,209.331284290339,1.63397188405572,15.084354463848,0.591752180286795
427,0.586492462639703,ar,5y,0.0968665354282149,0.104021311762976,2.97094503541633,94.8139082296442,1.7050517503655,14.6023190421293,0.586406771206356
428,0.576683425632068,ar,5y,0.0971630306843705,0.0472528982592858,2.93641386609732,28.0987051426339,1.7340536515402,13.1448111976944,0.56875583929563
429,0.606153124336284,ar,5y,0.0973346441699669,0.0072632244979572,2.92324174360954,14.1204265609066,1.64974815743953,15.1471513504149,0.592432325706172
