timeindex,ar1,var,frequency,sd,sk,kurt,cv,returnrate,densratio,acf1
139,0.700438422126898,ctotal,5y,1.80396869599053,0.627259075625818,3.38484432100263,67.7674331414369,1.42767724957674,30.172275150547,0.694073667851556
140,0.710630397158496,ctotal,5y,1.79311581397963,0.691200565764134,3.51443281299024,-105.102232398255,1.407201273684,33.3846886825948,0.707178074560522
141,0.709945424667423,ctotal,5y,1.79487331501392,0.712006920914293,3.52326159288697,-57.5404122628945,1.4085589754571,33.6977977455222,0.708364639507129
142,0.707250875705181,ctotal,5y,1.79446058371832,0.740981129012842,3.55508456913158,-36.7947882299108,1.41392543205115,33.1474446258946,0.706269022390232
143,0.706379178525976,ctotal,5y,1.79403020774713,0.74187242520829,3.55882062095523,-36.3783802629044,1.41567026662186,31.6185539522316,0.700193892454813
144,0.718593681141679,ctotal,5y,1.82347060002724,0.700876726342692,3.35583743545671,-114.980730874086,1.39160700440788,30.4479364405183,0.695270072906084
145,0.725890061734241,ctotal,5y,1.85254641896567,0.641938315805012,3.15379928181849,61.9486612376292,1.37761908133978,32.351366645054,0.703153759185957
146,0.721330936966723,ctotal,5y,1.85156611617031,0.592239069709023,3.11013395451927,27.7867091312093,1.38632623218007,36.083769897376,0.71694518325185
147,0.706855019059915,ctotal,5y,1.86658226386736,0.602409033992514,3.06184181155722,45.6228281296687,1.41471726596772,30.516132607191,0.695563821061399
148,0.721833563802906,ctotal,5y,1.90629342166866,0.569780738338827,2.98679927627675,-303.292535230809,1.38536090609531,29.8169221239929,0.692509667187337
149,0.720996645538537,ctotal,5y,1.91944198992456,0.56320841667739,2.94597819270747,-90.3015230263573,1.38696900490163,33.4452286880562,0.707408659839653
150,0.72935108261032,ctotal,5y,1.92607230749688,0.569068983980602,2.92419030935166,-58.9659458120449,1.37108180661231,37.8734730908896,0.722895576355127
151,0.73961229821981,ctotal,5y,1.91329012262002,0.632809357458853,3.04913901298804,-19.2862554236769,1.35205972427301,39.8743190823924,0.729114801004124
152,0.743561948681434,ctotal,5y,1.92870158608101,0.669484844797066,3.06439165546325,-12.3465459729215,1.34487785687973,38.8769385160829,0.726068628342743
153,0.71408002858003,ctotal,5y,1.91976144425956,0.690448785961707,3.13191878268783,-11.3162844022083,1.40040326010592,34.7299503096039,0.712173642608112
154,0.718202056669598,ctotal,5y,1.90706891668795,0.724663336752446,3.23486129880551,-9.99045763199614,1.39236582618148,36.3029240102119,0.717694962571622
155,0.721589860222477,ctotal,5y,1.9056008561381,0.749927085581029,3.26860203645262,-9.2379274759525,1.38582878602491,37.3680533050705,0.72125414466063
156,0.719668085194722,ctotal,5y,1.90129687237855,0.730101562104448,3.2697021491806,-10.0587017825868,1.38952945194093,36.8773916374212,0.719631774992082
