timeindex,ar1,var,frequency,sd,sk,kurt,cv,returnrate,densratio,acf1
74,0.142570038510234,photo,3y,0.100357303505532,0.0902981903077821,2.42783288863942,17.8313422731749,7.01409644304907,1.77350305894387,0.142371716185408
75,0.143673221908852,photo,3y,0.10044652518216,0.106814122606065,2.42172393510871,16.1838225468748,6.96023926180491,1.78109067185579,0.14341824350854
76,0.142397085806737,photo,3y,0.10309558737298,0.134576283637825,2.36368538781876,26.0564434366475,7.02261562681985,1.72043107446764,0.134915136904566
77,0.171124574827503,photo,3y,0.101544002186869,0.11242296842947,2.43223476223826,67.8748961672601,5.84369603844461,1.99449282035146,0.171036489030549
78,0.210748359286036,photo,3y,0.101148322275989,0.111841130444733,2.45349653797507,54.4056289934947,4.74499542197034,2.32350149673953,0.207876420137499
79,0.188214532656271,photo,3y,0.098548961524771,0.130431317977717,2.51098051646529,-89.0984338505758,5.3130860082216,2.14064869585585,0.188164946596805
80,0.202655170089188,photo,3y,0.0975727707140426,0.115910256659823,2.57637336829354,-39.2760200320139,4.93449044285376,2.27196022338454,0.202497674188063
81,0.208370690343237,photo,3y,0.0977671392085955,0.16733775223641,2.57226135719005,-236.954687340302,4.79913944880039,2.30893047838274,0.206369248462142
82,0.212720466290027,photo,3y,0.0981430479560478,0.18371441673557,2.54330401666834,258.490512162061,4.70100511455528,2.35398238119959,0.210995808302785
83,0.230118791737872,photo,3y,0.0975958090092505,0.17492073838378,2.58234775220264,-243.867104947851,4.34558165566547,2.54411449259224,0.229496598503081
84,0.209233093097509,photo,3y,0.0975866251687339,0.230808522625511,2.60239921735035,51.1860415474211,4.77935868172616,2.31786148268966,0.207294277494333
85,0.208642935883073,photo,3y,0.0938529924349474,0.186043954359961,2.61573673492731,16.9368840032438,4.79287734218049,2.32881949182498,0.208423899465258
86,0.201479055543265,photo,3y,0.0936629923611938,0.217766490089467,2.64456730898205,14.2553108333423,4.96329505468256,2.26136253844429,0.201375073212653
87,0.22060283475726,photo,3y,0.0931838513641572,0.22622604013181,2.68924751163752,13.0601019990028,4.53303331800041,2.43703517812472,0.21927386666216
88,0.231960855292614,photo,3y,0.0925253815447672,0.178925208748747,2.721328559404,19.4125715174648,4.31107222267533,2.55797822510732,0.230785080094369
89,0.239180789966111,photo,3y,0.0927424100747003,0.16132996110755,2.69328060448634,22.2102976446193,4.18093777573729,2.63718945833323,0.238000608567006
90,0.232616398721667,photo,3y,0.0914093844654273,0.129401965871538,2.74482433937658,82.8088445677405,4.29892305742612,2.55964078612364,0.230939074311903
91,0.235410506550462,photo,3y,0.0914802910585676,0.0711325966978517,2.7281878793653,-69.2972772930972,4.24789876481423,2.5761193512308,0.232459395283533
92,0.211133184933526,photo,3y,0.0914519266093803,0.0701500645777633,2.73099983663863,-66.8363864998868,4.7363468718328,2.34553878174333,0.21013618154075
93,0.179513141106758,photo,3y,0.0895861849280771,0.0830710802461587,2.83260863721029,-27.4863527770882,5.57062281811053,2.06368867006089,0.179310325101833
94,0.21833402046391,photo,3y,0.0894986518633868,0.0863091165233358,2.83306569567068,-27.0181810077828,4.5801382573143,2.34403222242075,0.209982442464018
95,0.2391973428424,photo,3y,0.0895296783443305,0.145005906613026,2.84416938257292,-129.373930293259,4.18064844749915,2.61144919111932,0.235682706101543
96,0.246056970733042,photo,3y,0.089773695800696,0.163344886773145,2.82017799067104,-9685.62340600883,4.06409945233758,2.71326848805501,0.244706321990697
97,0.235369808107913,photo,3y,0.0893899026685834,0.217178822883824,2.87546857329192,45.6217694677334,4.24863328070318,2.59650575165268,0.234325318381393
98,0.243316801338992,photo,3y,0.0896368737797422,0.26219475962003,2.90117083792603,16.424262941406,4.1098682643242,2.61974237166867,0.236432280756948
99,0.235370646689221,photo,3y,0.0895176214082596,0.278127868270368,2.92194123639209,15.0891849813975,4.24861814362256,2.60781656930429,0.235353535952984
100,0.237336138664749,photo,3y,0.0895153433606021,0.280229519863132,2.92301409865016,14.933461957475,4.21343334237252,2.62977471521072,0.237335514155279
101,0.25270057965193,photo,3y,0.0870408965777437,0.346203746630749,2.82943732888518,52.7862979968073,3.95725249770855,2.75280962882061,0.248108834663872
102,0.263606850797529,photo,3y,0.0877984407514106,0.304263107863499,2.73107280380752,682.617433477436,3.79352811573202,2.88517455705238,0.259111410090351
103,0.31959459018816,photo,3y,0.0866122815367883,0.276012023640504,2.75812751366715,-30.5081070077933,3.12896410233745,3.71101994630004,0.316902142544828
104,0.346942225428558,photo,3y,0.0848944919874066,0.301562603570853,2.90431866215943,-116.443856614408,2.88232427968304,4.24632981864079,0.346939648475371
105,0.331614590172436,photo,3y,0.0867854190970448,0.27063777789331,2.78802111986777,-21.7613003785956,3.01554886194848,3.68241854506762,0.315157530300834
106,0.310577565785161,photo,3y,0.0853178568061335,0.266514323575189,2.87682689319566,-14.2691394436439,3.2198075784126,3.60835787562272,0.310566273982761
107,0.321215704417479,photo,3y,0.085326703788966,0.266592221513814,2.87602536497863,-14.2977366496642,3.11317281891148,3.73495887028627,0.318350441481952
108,0.306228584811736,photo,3y,0.0850928565580939,0.277861609210792,2.90877658832327,-15.2676569313167,3.26553447195265,3.52683209187959,0.305384837756463
109,0.298023492417336,photo,3y,0.0861664879503331,0.283923191872915,2.83462865498626,-13.3733331242079,3.3554401765068,3.25955844999749,0.287380627518293
