timeindex,ar1,var,frequency,sd,sk,kurt,cv,returnrate,densratio,acf1
130,0.542453792839289,cheart,5y,1.81106811925933,0.647069406814103,3.25245511081984,403.237262425637,1.84347498939189,11.2031465352148,0.540919978116836
131,0.571574745877702,cheart,5y,1.75992470164621,0.806390176353311,3.21769455870258,50.2177380250304,1.74955245523386,12.5932601380245,0.561409621637334
132,0.553962822633763,cheart,5y,1.75610522547968,0.794735749948005,3.22359809151465,37.9151994775822,1.80517529181037,12.0558061818004,0.553845230108001
133,0.5489314444732,cheart,5y,1.73109528598052,0.828204531539727,3.29500408344318,23.7768933281279,1.8217211093813,11.6243912576322,0.547455904620813
134,0.554434655526524,cheart,5y,1.74709827660666,0.790678592401337,3.26179492821954,28.8237675109293,1.80363905833112,10.8555977368003,0.535288705748923
135,0.582643524792403,cheart,5y,1.79756374118579,0.658389327708413,3.23245739129942,70.9320452038468,1.71631530678437,11.5415601480626,0.546194671938831
136,0.570709938917585,cheart,5y,1.80100467720925,0.660945595894234,3.21910109503242,92.1954230712407,1.75220358330645,12.9828189016039,0.566639680924317
137,0.571686842729872,cheart,5y,1.80290017324284,0.6851042609412,3.23070915702568,578.609778550845,1.74920940147036,13.2561069988255,0.57019049641957
138,0.57393081625819,cheart,5y,1.80429555146569,0.693193166141393,3.23033934140494,-600.093734545975,1.74237028518458,13.4737006471248,0.572951348749206
139,0.570805437843436,cheart,5y,1.79386288062981,0.750588084374274,3.35079410125649,-47.3267546747711,1.75191042989728,13.2197869476748,0.569724012646517
140,0.585765510542925,cheart,5y,1.79550009807183,0.805832096514327,3.42118169194663,-21.4618262818423,1.70716776935729,13.9547143560273,0.578856686844256
141,0.576729437684732,cheart,5y,1.7962499826759,0.766996603177975,3.37309100242118,-30.2299796055211,1.73391530700163,13.6159028849589,0.574724952861331
142,0.590374971316583,cheart,5y,1.82991617913752,0.736545468668893,3.18448471041644,-66.6564787820361,1.69383874416275,13.0437478667177,0.567439557104572
143,0.611999559979164,cheart,5y,1.86702441688034,0.67554041218941,2.97220259539361,67.6745552840521,1.63398810292289,14.679116376061,0.587273502257418
