timeindex,ar1,var,frequency,sd,sk,kurt,cv,returnrate,densratio,acf1
193,0.418418351614252,croot,1y,0.0205420558797151,0.210137471494239,4.56723224718536,41.825696497879,2.38995253468691,5.56655386586195,0.405173015856048
194,0.400896848023012,croot,1y,0.0204722896478339,0.240835126091741,4.63659417522242,76.7983092827941,2.49440723949668,5.45378989369861,0.400874702709866
195,0.35715858690226,croot,1y,0.0206315129991552,0.287023918305462,4.56763938323223,-52.25971237288,2.79987668411752,4.26697378155171,0.348008213823024
196,0.370254590446227,croot,1y,0.0188480544677518,0.452513258801712,2.50683220371469,-9.24804033741813,2.70084429957994,4.35176818628042,0.352334582782517
197,0.341392608761979,croot,1y,0.018455480129151,0.501636312738869,2.54663773535749,-7.70180541145703,2.92917882325099,4.12252270519275,0.340400921157978
198,0.330126698713359,croot,1y,0.0184481299147597,0.456819883924079,2.51745648549758,-6.81121352152114,3.02914003592383,3.91080136141488,0.328669622419846
199,0.312566331124133,croot,1y,0.0186177107270396,0.434939828693537,2.49305604528504,-7.25617438859282,3.19932091343152,3.49201994354034,0.303130140228757
200,0.336839620049499,croot,1y,0.0188435784382942,0.417236115744543,2.45095016809288,-8.04431468513559,2.96877190353394,3.88447352371924,0.327159260001055
201,0.356792240412795,croot,1y,0.019154929543701,0.422580746576256,2.41118344386422,-10.3025780584004,2.80275153642086,4.21315445111928,0.345209625402086
202,0.342708295025199,croot,1y,0.0191115926198603,0.44745395751286,2.44596059273546,-11.2119803201279,2.91793345686736,4.16572051520484,0.342708152688948
203,0.344421123245673,croot,1y,0.0193930233569542,0.43117439750016,2.35201847910485,-9.7638677801932,2.90342238761792,3.99468648904827,0.333404163458824
204,0.363021283057687,croot,1y,0.019660792779461,0.388310220436176,2.24273113797135,-8.20104231728863,2.75465942816662,4.37141859366907,0.353323070546979
205,0.36393014618675,croot,1y,0.019672644397723,0.358693253266186,2.22258535700486,-7.58366084219397,2.74778006295431,4.57119976235159,0.363085458204938
206,0.359763874653697,croot,1y,0.0196505799419752,0.366745484268723,2.23578299146468,-7.73483314100027,2.77960092842169,4.4910715545069,0.359231444102508
207,0.361167710503861,croot,1y,0.0200806161093652,0.351453056345728,2.29503111355229,-11.6605642508648,2.76879679693656,4.15550595016081,0.342165117105305
208,0.399730982711174,croot,1y,0.0205740338728662,0.291915758736866,2.2841996985381,-15.6630882560999,2.50168248960214,4.93223846653065,0.379511954648321
209,0.436147024382702,croot,1y,0.0211146616189258,0.267218029529614,2.2827654664406,-34.3243224028935,2.29280482061146,5.79592021397803,0.413601920757365
210,0.453917969020018,croot,1y,0.021232551777148,0.273890478309056,2.25352288518133,-47.190695192686,2.20304122826189,6.84703561789186,0.44765123062861
211,0.443949262503277,croot,1y,0.0208201181977081,0.304590489682484,2.30572270081139,49.5888577817219,2.25250965473249,6.53510235076075,0.438247017106281
212,0.428963294338206,croot,1y,0.0206507104535149,0.359164963673774,2.37752162290554,17.3688445674168,2.3312017909196,6.04097565423833,0.422174581735208
213,0.467449766180969,croot,1y,0.0202415132187878,0.403281158738726,2.48846050741185,10.7394095128923,2.13926730174651,7.47975513251521,0.465211945967286
214,0.471356655989974,croot,1y,0.0202951786167619,0.404815656311149,2.47394140810426,10.3731265030596,2.12153575703675,7.518149510607,0.466218469115653
215,0.475319668114942,croot,1y,0.0204083246607887,0.41031971305094,2.4446126143446,9.62450785401398,2.10384729915737,7.62373615534147,0.468954171702936
216,0.474904180626214,croot,1y,0.0203559075240067,0.404049614530044,2.45887078364522,10.0414302908515,2.10568792778659,7.81385545885577,0.473764356193341
217,0.469322905049214,croot,1y,0.0203665301355932,0.373113047116694,2.4375727347144,11.2330163873604,2.13072916161025,7.59430548345622,0.46819634533313
218,0.480833748538859,croot,1y,0.0204223033459448,0.319516905399827,2.38812469967071,14.6483222177314,2.07972090777481,7.90540975108406,0.47602955835012
219,0.475358175806811,croot,1y,0.0203932336020971,0.364257159548786,2.42219121286261,11.8424850830932,2.10367687124079,7.81986360324163,0.473914009507316
220,0.480594353281947,croot,1y,0.0204899657699108,0.377276873073708,2.39685756298568,10.7710241752952,2.08075686526707,7.8938607880522,0.47574560744722
221,0.477810750788458,croot,1y,0.0204837793854093,0.391150834525748,2.40674035467233,10.266732159898,2.09287881938582,7.97615345666574,0.477757804809591
222,0.479791663136336,croot,1y,0.0211354195294603,0.311637704483208,2.41408440347002,8.21496904161872,2.08423796583527,6.95765983819333,0.450861540216472
223,0.502628079414899,croot,1y,0.0215373492423745,0.296274495367732,2.35877462217114,7.13473723181023,1.98954264784427,8.24066581327476,0.484055725057588
224,0.484084701521582,croot,1y,0.0213428367458526,0.352196485513836,2.44736608983091,6.00985149148978,2.06575418900202,8.17251523253264,0.482457259094898
225,0.479315215929657,croot,1y,0.0211200109047368,0.406011683397009,2.55272689572065,5.21199723888583,2.08630973264733,8.00344460123953,0.478419464415572
