"Year","VT_df","Tt_df","df_name","variavel"
"1997-03",0.422861787439202,0.352348600406803,"df_regclim","wue"
"1997-04",0.297908325098057,0.352876994521451,"df_regclim","wue"
"1997-05",0.229283625288017,0.353405388636099,"df_regclim","wue"
"1997-06",0.0762917927207664,0.353933782750748,"df_regclim","wue"
"1997-07",0.156490880334453,0.354462176865396,"df_regclim","wue"
"1997-08",0.34579410260563,0.354990570980043,"df_regclim","wue"
"1997-09",0.386680054088998,0.355518965094693,"df_regclim","wue"
"1997-10",0.353591616998678,0.356047359209341,"df_regclim","wue"
"1997-11",0.384791091579701,0.35657575332399,"df_regclim","wue"
"1997-12",0.399470489890887,0.357104147438638,"df_regclim","wue"
"1998-01",0.331673969971751,0.357632541553286,"df_regclim","wue"
"1998-02",0.14703258418352,0.358160935667935,"df_regclim","wue"
"1998-03",0.332452832915051,0.358689329782583,"df_regclim","wue"
"1998-04",0.396887730335948,0.359217723897231,"df_regclim","wue"
"1998-05",0.309191371668748,0.35974611801188,"df_regclim","wue"
"1998-06",0.36351002416378,0.360274512126528,"df_regclim","wue"
"1998-07",0.395360774743712,0.360802906241175,"df_regclim","wue"
"1998-08",0.339842257016528,0.361331300355825,"df_regclim","wue"
"1998-09",0.460018237372411,0.361859694470473,"df_regclim","wue"
"1998-10",0.401050903523563,0.36238808858512,"df_regclim","wue"
"1998-11",0.58131562956104,0.36291648269977,"df_regclim","wue"
"1998-12",0.278730834420058,0.363444876814417,"df_regclim","wue"
"1999-01",0.551979474262613,0.363973270929065,"df_regclim","wue"
"1999-02",0.618362158677778,0.364501665043714,"df_regclim","wue"
"1999-03",0.596740757396911,0.365030059158362,"df_regclim","wue"
"1999-04",0.536950338922357,0.36555845327301,"df_regclim","wue"
"1999-05",0.643033012765709,0.366086847387659,"df_regclim","wue"
"1999-06",0.444158207737546,0.366615241502307,"df_regclim","wue"
"1999-07",0.405201230281475,0.367143635616955,"df_regclim","wue"
"1999-08",0.398686273999099,0.367672029731604,"df_regclim","wue"
"1999-09",0.435295089780466,0.368200423846252,"df_regclim","wue"
"1999-10",0.402735177943957,0.3687288179609,"df_regclim","wue"
"1999-11",0.435270229579463,0.369257212075549,"df_regclim","wue"
"1999-12",0.380395353423612,0.369785606190197,"df_regclim","wue"
"2000-01",0.40137200901376,0.370314000304845,"df_regclim","wue"
