YEAR,PID,OC,g1,sla_random,wd_random,sla_ocp,wd_ocp,g1_ocp
1997,3010,0.021676625687514262,10.682379667359534,0.02499868375801973,0.6134706132865775,0.0005418871105031361,0.013297972854502954,0.23155794550126574
1998,3010,0.023410527273672217,10.682379667359534,0.02499868375801973,0.6134706132865775,0.0005852323679230276,0.014361670523941843,0.2500801405504419
1999,3010,0.013588262509421507,10.682379667359534,0.02499868375801973,0.6134706132865775,0.00033968867729398385,0.00833599973515382,0.14515497914538814
2000,3010,0.026710314378018518,10.682379667359534,0.02499868375801973,0.6134706132865775,0.0006677227022133725,0.01638599294256031,0.285329719220526
2001,3010,0.023102594616380537,10.682379667359534,0.02499868375801973,0.6134706132865775,0.0005775344568046262,0.014172762887822151,0.24679068699327328
2002,3010,0.0322108403859989,10.682379667359534,0.02499868375801973,0.6134706132865775,0.0008052286123896367,0.019760404006074803,0.34408842640795795
2003,3010,0.0148937126323226,10.682379667359534,0.02499868375801973,0.6134706132865775,0.0003723232120782563,0.009136855022664992,0.1591002929950188
2004,3010,0.022128294657774283,10.682379667359534,0.02499868375801973,0.6134706132865775,0.0005531782402539767,0.013575058494690885,0.2363828449255486
2005,3010,0.020685895317277818,10.682379667359534,0.02499868375801973,0.6134706132865775,0.0005171201552881294,0.012690188886672364,0.22097458753841637
2006,3010,0.02392199574940281,10.682379667359534,0.02499868375801973,0.6134706132865775,0.0005980184066000131,0.01467544140342504,0.25554384099608174
2007,3010,0.018672029651177445,10.682379667359534,0.02499868375801973,0.6134706132865775,0.00046677616437015244,0.011454741481412987,0.19946170989407228
2008,3010,0.018405010804925445,10.682379667359534,0.02499868375801973,0.6134706132865775,0.00046010104467526737,0.011290933266043699,0.1966093132000681
2009,3010,0.016953314921242173,10.682379667359534,0.02499868375801973,0.6134706132865775,0.00042381055836625026,0.01040036050197492,0.1811017466090204
2010,3010,0.02132673544312736,10.682379667359534,0.02499868375801973,0.6134706132865775,0.0005331403149336916,0.01308332547169593,0.22782028506881963
2011,3010,0.032911278279737465,10.682379667359534,0.02499868375801973,0.6134706132865775,0.0008227386377873405,0.020190102070315758,0.3515707699222789
2012,3010,0.017616676868759118,10.682379667359534,0.02499868375801973,0.6134706132865775,0.00044039373390933047,0.010807313562749119,0.18818803078927543
2013,3010,0.02561569894381788,10.682379667359534,0.02499868375801973,0.6134706132865775,0.0006403587571371432,0.01571447854082829,0.27363662156264323
2014,3010,0.02412885567012876,10.682379667359534,0.02499868375801973,0.6134706132865775,0.0006031896323404501,0.014802343885857203,0.2577535972072363
2015,3010,0.022172072153978258,10.682379667359534,0.02499868375801973,0.6134706132865775,0.0005542726200372978,0.013601914702135289,0.23685049276088585
2016,3010,0.02258330301666809,10.682379667359534,0.02499868375801973,0.6134706132865775,0.0005645528503252186,0.013854192751671988,0.24124341696707444
1979,3012,0.009239108440100214,0.5331867236048021,0.031130112020155167,0.6060009050490269,0.00028761448070668073,0.005598908076546834,0.004926169958206507
1980,3012,0.011073582118720485,0.5331867236048021,0.031130112020155167,0.6060009050490269,0.0003447218518201559,0.006710600786079335,0.005904286968449298
1981,3012,0.010885778545443784,0.5331867236048021,0.031130112020155167,0.6060009050490269,0.0003388755055462668,0.006596791650702213,0.00580415259653262
1982,3012,0.016038322092487255,0.5331867236048021,0.031130112020155167,0.6060009050490269,0.0004992747633544576,0.00971923770351508,0.008551420408611794
1983,3012,0.004868949392399391,0.5331867236048021,0.031130112020155167,0.6060009050490269,0.00015157094000585946,0.0029505877384319408,0.002596059173931023
1984,3012,0.02384220316549104,0.5331867236048021,0.031130112020155167,0.6060009050490269,0.0007422104553490342,0.014448396696650346,0.01271234618932821
1985,3012,0.011872637234095595,0.5331867236048021,0.031130112020155167,0.6060009050490269,0.0003695965270720611,0.007194828909180707,0.00633033254739581
1986,3012,0.01975512619337104,0.5331867236048021,0.031130112020155167,0.6060009050490269,0.000614979291371942,0.011971624352540587,0.010533171009442911
1987,3012,0.02964973797352294,0.5331867236048021,0.031130112020155167,0.6060009050490269,0.0009229996644840175,0.017967768046421403,0.01580884664584358
1988,3012,0.009725361285532448,0.5331867236048021,0.031130112020155167,0.6060009050490269,0.00030275158625510536,0.005893577740961432,0.005185433519706032
1989,3012,0.009967194356104006,0.5331867236048021,0.031130112020155167,0.6060009050490269,0.00031027987683217604,0.006040128800598581,0.00531437570226337
1990,3012,0.018191899379570303,0.5331867236048021,0.031130112020155167,0.6060009050490269,0.0005663158655454148,0.011024307488580435,0.009699679226341323
1991,3012,0.0041535024496348475,0.5331867236048021,0.031130112020155167,0.6060009050490269,0.0001292989965331217,0.002517026243602068,0.002214592362605324
