YEAR,PID,OC,g1,sla_random,wd_random,sla_ocp,wd_ocp,g1_ocp
2009,5968,0.01212380408474908,3.584479728841781,0.031782320723818584,0.4053103247313763,0.00038532262981423707,0.004913902970569236,0.04345752997823226
2010,5968,0.01073981383061187,3.584479728841781,0.031782320723818584,0.4053103247313763,0.0003413362076786091,0.0043529574312398235,0.038496644967362846
2011,5968,0.02401148635224988,3.584479728841781,0.031782320723818584,0.4053103247313763,0.0007631407603027985,0.009732103330713409,0.08606868608900078
2012,5968,0.022081317171985,3.584479728841781,0.031782320723818584,0.4053103247313763,0.00070179550436439,0.008949785833473755,0.07915003378910615
2013,5968,0.014225592349587122,3.584479728841781,0.031782320723818584,0.4053103247313763,0.0004521223385408779,0.005765779454707339,0.050991347407861765
2014,5968,0.006279810660740899,3.584479728841781,0.031782320723818584,0.4053103247313763,0.00019958695650452234,0.0025452720981564525,0.022509854014390263
2015,5968,0.012288152194363104,3.584479728841781,0.031782320723818584,0.4053103247313763,0.0003905459941443433,0.004980514956245884,0.0440466324456172
2016,5968,0.0076512653785722326,3.584479728841781,0.031782320723818584,0.4053103247313763,0.00024317497020483192,0.0031011368551950485,0.027425805649481105
1979,5970,0.014997810065485168,6.72925923537042,0.03224267745582935,0.6345625418094445,0.00048356955248522916,0.00951704847672954,0.10092415189349752
1980,5970,0.015452953664057497,6.72925923537042,0.03224267745582935,0.6345625418094445,0.0004982446007300822,0.009805865555527893,0.10398693115761008
1981,5970,0.019559299762397196,6.72925923537042,0.03224267745582935,0.6345625418094445,0.0006306441935008525,0.012411598973239629,0.1316195985634898
1982,5970,0.0311405811885677,6.72925923537042,0.03224267745582935,0.6345625418094445,0.0010040557150500554,0.019760646352440892,0.20955304355797155
1983,5970,0.02488052458012693,6.72925923537042,0.03224267745582935,0.6345625418094445,0.0008022147289688666,0.015788248919117707,0.1674274998116799
1984,5970,0.018577719619360625,6.72925923537042,0.03224267745582935,0.6345625418094445,0.0005989954215518775,0.011788724982684663,0.12501429132070474
1985,5970,0.021214841084792616,6.72925923537042,0.03224267745582935,0.6345625418094445,0.0006840232783736452,0.013462143482849435,0.14276016529675653
1986,5970,0.01853582856079527,6.72925923537042,0.03224267745582935,0.6345625418094445,0.0005976447416622715,0.011762142486082343,0.12473239552797435
1987,5970,0.02085413451174592,6.72925923537042,0.03224267745582935,0.6345625418094445,0.000672393132682703,0.01323325260300955,0.14033287725882324
1988,5970,0.01778340201510584,6.72925923537042,0.03224267745582935,0.6345625418094445,0.0005733844952404033,0.01128468078472476,0.11966912224645591
1989,5970,0.02582609320630708,6.72925923537042,0.03224267745582935,0.6345625418094445,0.0008327023931951449,0.016388271350001846,0.1737904762220792
1990,5970,0.01583956195533738,6.72925923537042,0.03224267745582935,0.6345625418094445,0.0005107098871675688,0.010051192695527063,0.10658851857217602
1991,5970,0.018776777940624864,6.72925923537042,0.03224267745582935,0.6345625418094445,0.0006054135947992992,0.01191503993699442,0.12635380636744944
1992,5970,0.028080530799748538,6.72925923537042,0.03224267745582935,0.6345625418094445,0.0009053914973647739,0.017818852999646827,0.18896117121831138
1993,5970,0.024318103355625238,6.72925923537042,0.03224267745582935,0.6345625418094445,0.0007840807628329459,0.015431357477330333,0.16364282159253354
1994,5970,0.024325129715686625,6.72925923537042,0.03224267745582935,0.6345625418094445,0.0007843073114940938,0.015435816142230555,0.16369010379086765
1995,5970,0.03464605526608251,6.72925923537042,0.03224267745582935,0.6345625418094445,0.0011170815850611363,0.02198508889331581,0.23314228736843973
1996,5970,0.03335954799639011,6.72925923537042,0.03224267745582935,0.6345625418094445,0.0010756011461198647,0.02116871957020347,0.22448504644249095
1997,5970,0.014973178775031924,6.72925923537042,0.03224267745582935,0.6345625418094445,0.00048277537373182436,0.009501418382451483,0.10075840155473592
1998,5970,0.03463911817072385,6.72925923537042,0.03224267745582935,0.6345625418094445,0.0011168579145330066,0.02198068687245224,0.2330956058554308
1999,5970,0.018168046282502584,6.72925923537042,0.03224267745582935,0.6345625418094445,0.0005857864562893103,0.01152876162873647,0.12225749323516774
2000,5970,0.01890949854780341,6.72925923537042,0.03224267745582935,0.6345625418094445,0.0006096928625282989,0.011999259462836132,0.12724691773902966
2001,5970,0.01844542007674835,6.72925923537042,0.03224267745582935,0.6345625418094445,0.0005947297300718761,0.011704772648644392,0.12412401340174581
2002,5970,0.028056017482476686,6.72925923537042,0.03224267745582935,0.6345625418094445,0.0009046011223826052,0.01780329776673062,0.1887962147516702
2003,5970,0.012700174794532094,6.72925923537042,0.03224267745582935,0.6345625418094445,0.0004094876395327521,0.008059055199042525,0.08546276852692372
2004,5970,0.0231298917568733,6.72925923537042,0.03224267745582935,0.6345625418094445,0.0007457696395051119,0.014677362905018839,0.1556470377180578
2005,5970,0.027080508253562768,6.72925923537042,0.03224267745582935,0.6345625418094445,0.0008731480929595489,0.01718427615087243,0.18223176026381213
2006,5970,0.024045982901112845,6.72925923537042,0.03224267745582935,0.6345625418094445,0.0007753068707889692,0.015258680030036607,0.16181165251087282
2007,5970,0.016467226742913683,6.72925923537042,0.03224267745582935,0.6345625418094445,0.0005309474804637732,0.010449485258535767,0.11081223764069066
2008,5970,0.014691253838921937,6.72925923537042,0.03224267745582935,0.6345625418094445,0.00047368535895007474,0.009322519378394064,0.09886125557473657
2009,5970,0.030730258393638313,6.72925923537042,0.03224267745582935,0.6345625418094445,0.0009908258095203727,0.019500270876728145,0.20679187510070998
2010,5970,0.015042677635687144,6.72925923537042,0.03224267745582935,0.6345625418094445,0.00048501620307947826,0.00954551975612172,0.10122607740464779
2011,5970,0.034340947067904984,6.72925923537042,0.03224267745582935,0.6345625418094445,0.0011072440798381691,0.021791478659553377,0.23108913520806634
2012,5970,0.0209884435640696,6.72925923537042,0.03224267745582935,0.6345625418094445,0.0006767236161361735,0.013318480096640082,0.14123667768956621
2013,5970,0.01656599388577694,6.72925923537042,0.03224267745582935,0.6345625418094445,0.0005341319975943469,0.01051215918775833,0.11147686734895437
2014,5970,0.013617154892939142,6.72925923537042,0.03224267745582935,0.6345625418094445,0.00043905353307910523,0.008640936421076375,0.09163336532278023
2015,5970,0.01855742026269784,6.72925923537042,0.03224267745582935,0.6345625418094445,0.0005983409159424385,0.011775843771323631,0.12487769168740961
2016,5970,0.022134322627747657,6.72925923537042,0.03224267745582935,0.6345625418094445,0.0007136698251897328,0.014045612027893856,0.1489475949614394
1979,5978,0.032433635080164495,5.810167294059942,0.02419357921877672,0.8123933225063087,0.0007846857196648553,0.026348868563732003,0.18844484577024695
1980,5978,0.025229009628856925,5.810167294059942,0.02419357921877672,0.8123933225063087,0.0006103800430670306,0.020495878955930733,0.14658476660710784
1981,5978,0.030673677061330826,5.810167294059942,0.02419357921877672,0.8123933225063087,0.0007421060359144816,0.024919090421340096,0.17821919525030103
1982,5978,0.0324513773024732,5.810167294059942,0.02419357921877672,0.8123933225063087,0.0007851149675257981,0.026363282226662017,0.18854793105002893
1983,5978,0.04525216359654139,5.810167294059942,0.02419357921877672,0.8123933225063087,0.0010948118047939682,0.03676255553479329,0.2629226409140747
1984,5978,0.037775925803547945,5.810167294059942,0.02419357921877672,0.8123933225063087,0.0009139348534907688,0.030688909874296115,0.2194844486066093
1985,5978,0.026414709010054004,5.810167294059942,0.02419357921877672,0.8123933225063087,0.0006390663549756767,0.0214591332157151,0.15347387837232623
