,Date,Monthly_NPP_Mean
176,1993-09,1.3003895894459032
177,1993-10,1.2876012711122706
178,1993-11,1.1501895986925583
179,1993-12,1.0684378536512844
180,1994-01,1.3747182738676333
181,1994-02,1.4385162730689103
182,1994-03,1.519451173420633
183,1994-04,1.5385501669920434
184,1994-05,1.3898775743070912
185,1994-06,1.4963290563928517
186,1994-07,1.393000438227109
187,1994-08,1.3760642869762802
188,1994-09,1.1926488791084582
189,1994-10,0.9415600102705498
190,1994-11,0.8052284353846751
191,1994-12,0.9620901811046625
192,1995-01,1.0074222727195172
193,1995-02,0.9280422911660609
194,1995-03,1.1118683842690762
195,1995-04,1.22407452354462
196,1995-05,1.3790499435418708
197,1995-06,1.2908681550579977
198,1995-07,1.2072211046311614
199,1995-08,0.9825179328290589
200,1995-09,0.8157354791467318
201,1995-10,0.7265236695548168
202,1995-11,1.0215961643109621
203,1995-12,1.185234733847447
204,1996-01,1.3620563282626221
205,1996-02,1.522570926427304
206,1996-03,1.6110173573529916
207,1996-04,1.455612900249124
208,1996-05,1.4483868573033805
209,1996-06,1.4020641170914703
210,1996-07,1.403655466359499
211,1996-08,1.4321259032960378
212,1996-09,1.0967569980716962
213,1996-10,1.0426848859854962
214,1996-11,0.8600547495447185
215,1996-12,0.9065669948472804
216,1997-01,1.0079025684254974
217,1997-02,1.1407703643179958
218,1997-03,1.3237624918174273
219,1997-04,1.2374311592904261
220,1997-05,1.1340489256823567
221,1997-06,0.9999248994479941
222,1997-07,0.574881435414807
223,1997-08,0.6030048243379832
224,1997-09,0.6400804726496484
225,1997-10,0.5374298006224301
226,1997-11,0.6593233692600831
227,1997-12,0.8500221739675599
228,1998-01,0.9092736624483452
229,1998-02,0.9011063835065573
230,1998-03,0.8885404184907221
231,1998-04,0.9687082767603749
232,1998-05,0.99918996611205
233,1998-06,0.9178097395794118
234,1998-07,0.9093418177411633
235,1998-08,0.7609434145465088
236,1998-09,0.8970343763933838
237,1998-10,0.7753614331808646
238,1998-11,0.9246532283349619
239,1998-12,0.8592010548154425
240,1999-01,1.0809893684800735
241,1999-02,1.2696230264392618
242,1999-03,1.2306593474989762
243,1999-04,1.2223782337059317
244,1999-05,1.3232956520977395
245,1999-06,1.3404377334042545
246,1999-07,1.1599536156797143
247,1999-08,0.9393064562273507
248,1999-09,0.785195371983169
249,1999-10,0.836750482317118
250,1999-11,0.8897199873356787
251,1999-12,0.9173587991031232
252,2000-01,0.9592755081323686
253,2000-02,1.0658278536981503
254,2000-03,1.079866584478577
255,2000-04,1.0268109219196861
256,2000-05,1.008177516996407
257,2000-06,0.7507802738113515
258,2000-07,0.7297809783359028
259,2000-08,0.7613749527851098
260,2000-09,0.8683803448104755
261,2000-10,0.8489022552963902
262,2000-11,0.8178636082827858
263,2000-12,0.8363387549564344
264,2001-01,1.0386242711256453
265,2001-02,1.0188872580447732
266,2001-03,0.8980257660836688
267,2001-04,0.9043419368007427
268,2001-05,0.794031104205211
269,2001-06,0.7843437701410144
270,2001-07,0.7988900498336318
271,2001-08,0.6598661902426983
272,2001-09,0.6624322404966254
273,2001-10,0.5634751411466108
274,2001-11,0.5817740911674594
275,2001-12,0.7862029369211377
276,2002-01,0.9739985557405532
277,2002-02,0.984936661090278
278,2002-03,0.9798783631877092
279,2002-04,0.9047477503912589
280,2002-05,0.8620251630065967
281,2002-06,0.7737840434525535
282,2002-07,0.6236741856964876
283,2002-08,0.5506227998370965
284,2002-09,0.49608724306743707
285,2002-10,0.5535685364720737
286,2002-11,0.6605666586036847
287,2002-12,0.817353921678174
288,2003-01,0.8236324530994461
289,2003-02,0.8897912337720708
290,2003-03,0.8897857161977956
291,2003-04,0.955915675634482
292,2003-05,0.8855167249490705
293,2003-06,0.8466145057068836
294,2003-07,0.7652630143668289
295,2003-08,0.7434722546817456
296,2003-09,0.8141262724013504
297,2003-10,0.7660831529880083
298,2003-11,0.7225771613606806
299,2003-12,0.7548343643887677
300,2004-01,0.7662647637043716
301,2004-02,0.8088777373465739
302,2004-03,0.8992144854248907
303,2004-04,0.8405115547431197
304,2004-05,0.8252984393463444
