date,npp,photo,ar,lai,f5,evapm,cleaf,cwood,croot,csap,cheart,csto,ctotal,wue,climate
1995-05,0.62861631513886,1.25739729188505,0.639196425384529,5.65193626033873,0.446550890879748,1.24193993172965,0.203200468813517,30.7854032356326,0.26438284335384,2.92486258724481,27.8605406483878,4.98618872933366,36.2391752771336,0.011433364948576,1y
1995-06,0.583542488400804,1.17400676580741,0.598746647099251,5.35325909993976,0.417035631059297,1.24120202586634,0.189115613351873,28.4130138265872,0.2457659786838,2.71454665837159,25.6984671682156,5.55235367734344,34.4002490959664,0.010541965421564,1y
1995-07,0.575748017377383,1.25309240604036,0.683569982318304,6.07318495938827,0.415823596256211,1.10063034002597,0.217437637607553,28.9400393964067,0.282239991630724,3.0037366033557,25.936302793051,4.82518449218659,34.2649015178316,0.007610558495321,1y
1995-08,0.533778657668775,1.23023186944113,0.703407677752348,6.15708628668686,0.385119080203845,1.0597690405448,0.217172614851278,30.2534377316802,0.281897469436762,3.08621128373902,27.1672264479412,3.65288957760849,34.4053973935767,0.005902448099186,1y
1995-09,0.47723596796906,1.15843555674461,0.688897765610947,6.20183657698432,0.363722920562852,1.02979095459623,0.218788997529293,30.7481106597016,0.284102421308935,2.9374225336457,27.8106881260559,3.27475424781846,34.5257563263583,0.006462725183749,1y
1995-10,0.419320308803082,1.03250224012896,0.61779161738107,5.68149251401257,0.324829334438188,1.04733601348863,0.196854485762206,33.7987190531519,0.255322596122209,2.64512517116883,31.1535938819831,2.52964368945592,36.7805398244923,0.006773540758414,1y
1995-11,0.473468005921315,1.00954635556198,0.540522399605754,5.09034632431606,0.330266640047152,1.130850101932,0.174273198986681,32.4149591855929,0.226000847806345,2.43459948399516,29.9803597015977,3.15152232761543,35.9667555600014,0.010859080826803,1y
1995-12,0.535640135728149,1.07870804685201,0.548083744354543,5.04785389402946,0.361803016434736,1.14500882349148,0.174923687643782,31.1412772420485,0.226795849102645,2.51214277777314,28.6291344642753,4.38522914686571,35.9282259256606,0.010846573221734,1y
1996-01,0.634094074742457,1.23600253707925,0.606642270490772,5.41849109723799,0.413894247574256,1.19369900528569,0.188079270784952,30.554911885894,0.244172311802423,2.76060887346224,27.7943030124317,4.95611322989866,35.94327669838,0.011325785282536,1y
1996-02,0.73834026510752,1.30997868516345,0.579247902834325,5.48105688678638,0.444762714235324,1.2089099175872,0.188422379383638,27.1931064597454,0.244767735777868,2.55583701180193,24.6372694479435,7.18951800780858,34.8158145827155,0.012446128185306,1y
1996-03,0.861318093038259,1.54787202825278,0.702466034242252,6.36562653924392,0.505554925757011,1.18364515618407,0.221236962049365,29.0586189544094,0.288429720057598,3.20153410550413,25.8570848489053,8.10109926643235,37.6693849029487,0.014785553229261,1y
1996-04,0.802467099949946,1.47912963394438,0.705331398066569,6.54059007608244,0.505789876674616,1.15453238192861,0.219698149155399,27.9823099647852,0.287983576945017,3.21374528543451,24.7685646793507,8.25371012635491,36.7437018172405,0.01196473239403,1y
1996-05,0.836625288156726,1.52935980197363,0.706339021964207,6.53102767592802,0.523245869652655,1.16791909018776,0.221753864644472,29.2103493198251,0.28912976389939,3.27179022933129,25.9385590904938,7.94425407041157,37.6654870187805,0.012966139591726,1y
