"timeindex","ar1","sd","sk","kurt","cv","returnrate","densratio","acf1","frequency"
46,0.364753609920275,0.0916254259818215,0.289816541196694,2.11145562349171,-19.8454614827264,2.74157670493946,3.91487407900918,0.349562932269232,"5"
47,0.246000431748136,0.0943423980153206,0.170810361185286,1.87816599925512,-710.084476089061,4.06503351597299,2.4430807972065,0.230569792111915,"5"
48,0.123357871499355,0.0892064294659357,0.0572425908823467,1.82180377359674,-25.8150110363216,8.10649525519113,1.48031209896778,0.101474300406064,"5"
49,0.0744345007325579,0.076648454712788,0.124208430468001,2.18439901682718,-4.27657671800895,13.4346303146841,1.33357554808293,0.0744343587044759,"5"
50,0.0971602774614222,0.0801889821149918,0.355153941612604,2.01162851777657,-2.9959372476587,10.2922719667722,1.41281084529199,0.089385567990771,"5"
51,-0.194009825373404,0.0816845888903638,0.049154849841433,1.82363939608525,-6.85774938493597,-5.15437812531059,0.498135698772951,-0.176232225520699,"5"
52,-0.0323897888981576,0.0687179118547016,0.0949625326211432,1.70969024922272,10.6767256482209,-30.8739276796239,0.884839278929139,-0.0314704412500367,"5"
53,-0.0981590180345601,0.0879760114452931,0.291750398922595,2.18362698110595,-5.73245134089506,-10.1875509761917,0.785562478270494,-0.0619207487181941,"5"
54,0.17149779424533,0.0915510460317911,0.233810767442425,1.94158179396188,-4.77529140844946,5.83097878547338,1.7992774806756,0.151951462423738,"5"
55,0.219141572797119,0.0929014510296208,0.0513113332190024,1.80467472727138,-3.74666445811793,4.5632601210077,2.28425726310557,0.21336792023768,"5"
56,0.21097388087256,0.0965909341320929,0.359333582954493,1.74761734895033,-8.36999227722871,4.7399232353509,2.1141377728964,0.19350433910293,"5"
57,0.163394138608274,0.0960852317604854,0.360730683676445,1.75974940283771,-7.94784875144656,6.12017057966463,1.7970354294199,0.151629470407149,"5"
58,0.390243406870247,0.104285152840456,0.0915166880050894,1.97013857656454,-14.9640954495853,2.56250325411005,2.94928856673277,0.278468440360822,"5"
59,0.255575880939359,0.10424622455143,0.103117130206881,1.97457493264008,-15.8272093408268,3.91273228257902,2.69315540019227,0.255415718886552,"5"
